Oklahoma Heart Institute-Utica Park Clinic-Cleveland	100 Hickerson Drive		Cleveland	OK	74020		http://www.uticaparkclinic.com/home		918.579.3627		36.308187	-96.48123
Oklahoma Heart Institute-WW Hastings Hospital	100 S Bliss		Tahlequah	OK	74464-2512		http://www.oklahomaheart.com/content/regional-clinics		918.579.3627		35.912411	-94.949713
Kyra F Vineyard	10010 E. 81st Street	Ste 220	Tulsa	OK	74133				918.579.3627	Family Medicine	36.046355	-95.864453
Theresa Cooper	10131 S Yale		Tulsa	OK	74137				918.579.3627	Family Medicine	36.01601	-95.922137
Oklahoma Heart Institute-Cushing Specialty Clinic	1023 E. Cherry	Ste B	Cushing	OK	74023		http://www.oklahomaheart.com/content/regional-clinics		918.579.3627		35.978917	-96.757638
Hillcrest Hospital Cushing	1027 East Cherry		Cushing	OK	74023		http://www.hillcrestcushing.com/		918.579.3627		35.978943	-96.757442
Utica Park Clinic	10512 N 110th E Ave		Owasso	OK	74055		http://www.uticaparkclinic.com/home		918.579.3627		36.304942	-95.851533
Lauri Blesch	10512 N 110th E Ave	Ste 300	Owasso	OK	74055				918.579.3627	Pediatrics	36.304942	-95.851533
Pamela A Jarrett	10630 E 510 Rd		Claremore	Ok	74019				918.579.3627	Pediatrics	36.278385	-95.639745
Bailey Medical Center	106th & Garnet		Owasso	OK	74055				918.579.3627		36.30755	-95.84811
Christopher L. Jones	1101 S. Belmont Ave	Ste 105	Okmulgee	OK	74447				918.579.3627	Family Medicine	35.612601	-95.952354
Leslie L Lisdell	112 N. 3rd St		Okemah	OK	74859				918.579.3627	Family Medickne	35.431729	-96.303413
Hillcrest Medical Center	1120 South Utica Avenue		Tulsa	OK	74104				918.579.3627		36.147559	-95.967196
Oklahoma Heart Institute-Hillcrest	1120 South Utica Avenue		Tulsa	OK	74104				918.579.3627		36.147559	-95.967196
Utica Park Clinic	1150 E Lansing		Broken Arrow	OK	74012				918.579.3627		36.062657	-95.776322
Hillcrest Hospital Claremore	1202 N. Muskogee Pl		Claremore	OK	74107				918.579.3627		36.32272	-95.605308
Utica Park Clinic	1245 S Utica Ave		Tulsa	OK	74104				918.579.3627		36.145451	-95.967087
John Vallandigham	1265 S Utica Ave	Ste 102	Tulsa	OK	74104				918.579.3627	Pulmonary Disease Medicine	36.14534	-95.967053
Utica Park Clinic	1265 S Utica	Ste 105	Tulsa	OK	74104				918.579.3627		36.14534	-95.967053
Oklahoma Heart Institute-Utica	1265 S Utica	Ste 300	Tulsa	OK	74104				918.579.3627		36.14534	-95.967053
Douglas A. Davies	1265 S. Utica Ave	Ste 300	Tulsa	OK	74104				918.579.3627	Cardiovascular Disease	36.14534	-95.967053
Dwight J. Korgan	1408 N. Florence		Claremore	OK	74017				918.579.3627	Family Medicine	36.322183	-95.603678
Jeffrey M. Williams	1501 N Florence	Ste 101	Claremore	OK	74017				918.579.3627	Family Medicine	36.32402	-95.603746
Oklahoma Heart Institute-Claremore	1501 N. Florence	Ste 201	Claremore	OK	74017				918.579.3627		36.32402	-95.603746
Utica Park Clinic	1551 N 9th Street		Broken Arrow	OK	74012				918.579.3627		36.06715	-95.779528
Subramania Jegathesan	1705 E 19th St	Ste 701	Tulsa	OK	74104				918.579.3627	Pediatric Surgery	36.135098	-95.966502
Utica Park Clinic - Catoosa	1755 N Hwy 66	Ste A	Catoosa	OK	74015				918.579.3627		36.181459	-95.747593
Utica Park Clinic	20 E 34th St		Sand Springs	OK	74063				918.579.3627		36.113709	-96.118882
Jessica L Keller	2000 S Wheeling	Ste 300	Tulsa	OK	74104				918.579.3627	Pediatrics	36.133572	-95.964676
Randolph D. Cohen	201 W Blue Starr		Claremore	OK	74017				918.579.3627	Cardiovascular Disease	36.3218	-95.60648
Oklahoma Heart Institute-Robert Clark Family Health Center	212 N Main Street		Fairfax	OK	74637-3023				918.579.3627		36.57255	-96.704287
Sheela Vardey	213 E Patti Page Blvd		Claremore	OK	74017				918.579.3627	Pediatrics	36.308665	-95.609242
Utica Park Clinic - Catoosa	2400 N Hwy 66		Catoosa	OK	74015				918.579.3627		36.190115	-95.736217
